ResponseId,PROLIFIC_PID,State,UpperMidwest,D_parkfreq,D_posterbuyer,D_parkfreq_posterbuyer,D_parkfreq_posterbuyer_uppermidwest,Q1_park_usage,Q1_n_park_usage,Q2_park_activities_1,Q2_n_park_activities_1,Q2_park_activities_2,Q2_n_park_activities_2,Q2_park_activities_3,Q2_n_park_activities_3,Q2_park_activities_4,Q2_n_park_activities_4,Q2_park_activities_5,Q2_n_park_activities_5,Q2_park_activities_6,Q2_n_park_activities_6,Q2_park_activities_7,Q2_n_park_activities_7,Q2_park_activities_8,Q2_n_park_activities_8,Q2_park_activities_9,Q2_n_park_activities_9,Q3_buy_local_apparel,Q3_n_buy_local_apparel,Q4_buy_local_brands,Q4_n_buy_local_brands,Q5_buy_posters,Q5_n_buy_posters,Q6_drink_alcohol,Q6_n_drink_alcohol,Q7_drink_coffee_tea,Q7_n_drink_coffee_tea,Q8_brand_loyalty,Q8_n_brand_loyalty
R_3O1dmRHWl6HB8BG,6024528e6a061e12eea449d3,KS,0,0 ,0 ,0 ,0 ,About once per month,3,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Never,1,Once in a few months or longer,2,Never,1,More than once per week,6,More than once per week,6,Depends upon the product/service,4
R_2TmyLhVIAC2Gel2,5db9a46ff8e3f9000f88cb85,IL,0,0 ,0 ,0 ,0 ,Once in a few months or longer,2,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Once in a few months or longer,2,More than once per week,6,Never,1,Several times per month,4,More than once per week,6,Somewhat loyal,2
R_d7obymfmu4ptYEF,61520cb33cbe8939af2a11a6,OH,0,0 ,1 ,0 ,0 ,Once in a few months or longer,2,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Once in a few months or longer,2,Once in a few months or longer,2,1 per year,2,Several times per month,4,More than once per week,6,Depends upon the product/service,4
R_2XnQwaQ1sc2Site,5f0144a4a28292298e381c49,KS,0,0 ,0 ,0 ,0 ,Several times per month,4,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Once in a few months or longer,2,About once per month,3,Never,1,Never,1,Once in a few months or longer,2,Depends upon the product/service,4
R_5jVV6NJiyhVRF29,61494b2ba9fdd44794e4c5d3,NE,0,1 ,0 ,0 ,0 ,About once per week,5,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Once in a few months or longer,2,About once per month,3,Never,1,Never,1,More than once per week,6,Somewhat loyal,2
R_2s1mgqAXFdMBjLl,570bc1ffb9b52b00102db939,IL,0,0 ,0 ,0 ,0 ,About once per month,3,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Never,1,Never,1,Never,1,Several times per month,4,More than once per week,6,Depends upon the product/service,4
R_VR90yR1SK0wwas1,60fe010f7d53d4e9cebf78a4,WI,1,0 ,1 ,0 ,0 ,Once in a few months or longer,2,Running/walking,1,Biking,1,Not selected,0,Playing team sports,1,Spending time with family/pets,1,Not selected,0,Not selected,0,Someplace to go while I drink my coffee,1,Not selected,0,Never,1,About once per month,3,1 per year,2,About once per week,5,More than once per week,6,Somewhat loyal,2
R_1LO3sCp4qtE8HEm,615dd68523c38ecff40b29b4,OH,0,0 ,0 ,0 ,0 ,About once per month,3,Running/walking,1,Biking,1,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Once in a few months or longer,2,Never,1,Never,1,Never,1,More than once per week,6,Highly loyal,1
R_1ZJHchuj1GTdYB3,5d12e78f090507001aef72a4,IL,0,0 ,0 ,0 ,0 ,Never,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,I don't go to the park,1,Never,1,About once per month,3,Never,1,Once in a few months or longer,2,More than once per week,6,Somewhat loyal,2
R_248lUejoqXurKob,5f7639bad6756f0bd6fc91e7,WI,1,1 ,1 ,1 ,1 ,About once per week,5,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Someplace to go while I drink my coffee,1,Not selected,0,Several times per month,4,About once per month,3,2-3 per year,3,More than once per week,6,More than once per week,6,Somewhat loyal,2
