response_id,prolific_id,freq_park_usage,park_run_walk,park_biking,park_skiing,park_team_sports,park_family_pets,park_before_after_bar,park_before_after_meal,park_drink_coffee,park_never_go,freq_buy_local_apparel,freq_buy_local_brands,freq_buy_posters,freq_drink_alcohol,freq_drink_coffee_tea,brand_loyalty
R_1hLLPtF4zKe7USn,608f39d2c76e436967135846,1,1,0,0,0,0,0,0,0,0,1,1,1,4,6,2
R_1q9R7Nueg3sBfxf,60ff6a564e65a25ad8c0b2ef,1,1,0,0,0,1,0,1,0,0,2,2,2,5,6,4
R_3HNswB07adxg7HA,6051536b3e81428095504b35,1,1,1,0,0,0,0,0,1,0,1,2,1,6,6,2
R_1rAKvLFZ5wff1Nc,5c9ebf067114700016da2813,0,1,0,0,0,1,0,0,0,0,2,2,1,1,2,4
R_080q9POf4hsGaTD,5807a64c357e890001dd0ab6,1,1,0,0,0,1,0,0,0,0,1,3,1,4,6,2
R_1o1fjtw6fKdRHE6,5eaff2eac963900392c6dc48,0,0,0,0,0,1,0,0,0,0,1,2,1,1,6,4
R_3j0ccCM8gTn97oA,5dd3e3cd5daaa63c5fdb7bb8,0,0,0,0,0,1,0,1,0,0,2,3,2,1,1,1
R_2Setl1Sii1yP4bh,614e7196ef4fbb72f9a5223c,0,1,0,0,0,0,0,0,0,0,1,2,1,3,1,4
R_1LbQXWrYDiN9ord,5ff94e71c59814230b0fb713,0,0,0,0,0,1,0,0,0,0,1,3,1,2,2,2
R_1LtgNY815haReOy,5e97a2d74cb72e263342ecc9,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,4
R_1HqnWn1noPQ0Znf,5d3a2d1da46f450019cdf5d3,0,0,1,0,0,0,0,0,0,0,2,5,1,1,3,1
R_2TTAkxMoFXoX2zJ,606e4eb2a56685e5593304cd,0,1,0,0,0,0,0,0,0,0,1,1,1,4,6,4
R_2QKjVlcllk69nud,615c777509f34c8977bc45a7,1,1,0,0,0,0,0,0,0,0,3,6,2,3,6,2
R_XNFfgQNBzR6IBGh,610f326ceebada4236a67080,0,1,1,0,0,0,0,0,0,0,2,3,1,3,4,2
R_3n3VBI5u7KPQZot,58d2cb10f5899100018a05b8,0,1,1,0,1,1,0,0,0,0,4,5,3,5,6,2
R_2R3xSoHwdNYAXt1,5dbf2bee3237043d5e7f98d7,0,0,1,0,0,1,0,0,1,0,2,2,3,6,6,4
R_2P06LNMlOwmPUCO,59dc458f77860e000151240e,0,1,0,0,0,1,0,0,0,0,1,3,1,2,1,2
R_1gHKY95PxXLdjaj,61648bb6ad1eceeee2c056ee,0,1,0,0,1,1,0,0,0,0,2,2,1,2,6,3
R_2WuT9wtk60WEBHv,5898b6e256357700011c2c6b,0,0,0,0,0,0,0,0,0,1,1,2,1,1,6,3
R_UflX6jNDUa7w0Eh,610726b29bdbcfbbaeaa5c74,1,1,1,1,1,1,0,1,1,0,2,4,1,1,6,2
R_3IPQ8C2HXjXFF0W,60d32e3148c380db202ec35c,0,1,0,0,0,1,0,1,0,0,1,4,1,2,6,2
R_2CBNk5tYF41HdSJ,606d162eaf1c27437d59a82c,0,1,0,0,0,0,0,0,0,0,1,2,1,1,2,4
R_1cUqVATHjtgTeCS,57bf14513c449a000189c89a,0,1,0,0,0,0,0,1,0,0,2,2,1,1,2,4
R_1g6fvJfvYJz3GKg,60ff13037d2dde9da3f054e2,0,1,0,0,0,1,0,1,0,0,2,3,1,1,6,1
R_D33IrbN1yiS5ywN,5fa941f4897b8d0670476392,0,0,0,0,0,1,0,0,0,0,2,2,1,2,6,4
