response_id,prolific_id,freq_park_usage,park_run_walk,park_biking,park_skiing,park_team_sports,park_family_pets,park_before_after_bar,park_before_after_meal,park_drink_coffee,park_never_go,freq_buy_local_apparel,freq_buy_local_brands,freq_buy_posters,freq_drink_alcohol,freq_drink_coffee_tea,brand_loyalty
R_31bgKfmliDzltUw,60dbf6f5a1694ed71ee0fd7f,About once per month,Running/walking,Not selected,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Never,About once per month,Never,Once in a few months or longer,Once in a few months or longer,Depends upon the product/service
R_3KSzocKUm0pkKzh,60bec98ec93bac9b5a1d1786,More than once per week,Running/walking,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Once in a few months or longer,Once in a few months or longer,Never,Once in a few months or longer,More than once per week,Depends upon the product/service
R_3EaK5RyQoJIBQ5w,5f1703a31ea06d025b729ad9,About once per month,Running/walking,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Once in a few months or longer,Several times per month,Never,Never,About once per week,Somewhat loyal
R_2ykAtZ3c260HAqZ,60193321d10f4e02eed1ccf2,About once per month,Running/walking,Not selected,Not selected,Not selected,Not selected,Not selected,Somewhere to go before or after a meal at a local restaurant,Someplace to go while I drink my coffee,Not selected,Several times per month,Several times per month,Never,Once in a few months or longer,More than once per week,Somewhat loyal
R_25FTKrnASLbwzmM,61247491151682b679e31db0,Never,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I don't go to the park,Never,Once in a few months or longer,1 per year,Once in a few months or longer,More than once per week,Somewhat loyal
R_1injemG22AlATW6,611319d711690a0a7059c63b,Once in a few months or longer,Running/walking,Biking,Not selected,Not selected,Spending time with family/pets,Somewhere to go before or after a beer/cocktail at a local bar or restaurant,Somewhere to go before or after a meal at a local restaurant,Someplace to go while I drink my coffee,Not selected,Once in a few months or longer,About once per month,1 per year,More than once per week,More than once per week,Somewhat loyal
R_10BgbxXPHOxAKe2,6111a51d55bcdc127d626390,Once in a few months or longer,Not selected,Biking,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Never,Never,Never,Once in a few months or longer,About once per month,Not loyal
R_8df5MefGPoTFIfT,610ca88b5792d4c4eb2e98e1,Once in a few months or longer,Not selected,Not selected,Not selected,Playing team sports,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Once in a few months or longer,Once in a few months or longer,Never,Never,Several times per month,Somewhat loyal
R_2OHJUmidntUs0oU,60ad9bb50498f3a88f8f4c4f,Never,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I don't go to the park,Once in a few months or longer,About once per month,Never,Never,More than once per week,Depends upon the product/service
R_3gS1rRGXASuNLWS,5e6bba5459a3bd17473d4d6a,About once per month,Running/walking,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Once in a few months or longer,Once in a few months or longer,2-3 per year,About once per month,More than once per week,Somewhat loyal
R_31WXuEEIZUBkmnr,6151d31b87f9d831c3c3993b,Once in a few months or longer,Not selected,Biking,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Once in a few months or longer,More than once per week,Never,About once per week,Never,Highly loyal
R_2t7L9K5yd06A3Vn,581fce42429ef50001ac4fc1,Several times per month,Running/walking,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,About once per month,Once in a few months or longer,2-3 per year,About once per month,Several times per month,Depends upon the product/service
